Time	Message
--[Edge-#13662225542973170432]: start statistics
Cybertwin[13662225542973170432]: at 0 ms, throughput = inf Mbps
Cybertwin[13662225542973170432]: at 10 ms, throughput = 35.02 Mbps
Cybertwin[13662225542973170432]: at 10 ms, traffic shaping thoughput is 35.432 Mbps
Cybertwin[13662225542973170432]: at 20 ms, throughput = 49.44 Mbps
Cybertwin[13662225542973170432]: at 20 ms, traffic shaping thoughput is 49.44 Mbps
Cybertwin[13662225542973170432]: at 30 ms, throughput = 63.036 Mbps
Cybertwin[13662225542973170432]: at 30 ms, traffic shaping thoughput is 63.036 Mbps
Cybertwin[13662225542973170432]: at 40 ms, throughput = 82.4 Mbps
Cybertwin[13662225542973170432]: at 40 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 50 ms, throughput = 103.824 Mbps
Cybertwin[13662225542973170432]: at 50 ms, traffic shaping thoughput is 103.824 Mbps
Cybertwin[13662225542973170432]: at 60 ms, throughput = 133.076 Mbps
Cybertwin[13662225542973170432]: at 60 ms, traffic shaping thoughput is 133.076 Mbps
Cybertwin[13662225542973170432]: at 70 ms, throughput = 149.968 Mbps
Cybertwin[13662225542973170432]: at 70 ms, traffic shaping thoughput is 109.592 Mbps
Cybertwin[13662225542973170432]: at 80 ms, throughput = 111.24 Mbps
Cybertwin[13662225542973170432]: at 80 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 90 ms, throughput = 107.12 Mbps
Cybertwin[13662225542973170432]: at 90 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 100 ms, throughput = 94.348 Mbps
Cybertwin[13662225542973170432]: at 100 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 110 ms, throughput = 97.232 Mbps
Cybertwin[13662225542973170432]: at 110 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 120 ms, throughput = 102.176 Mbps
Cybertwin[13662225542973170432]: at 120 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 130 ms, throughput = 104.648 Mbps
Cybertwin[13662225542973170432]: at 130 ms, traffic shaping thoughput is 82.4 Mbps
