n_packets,node_id,node_addr,time,packet_size
1,2,10.1.2.2,0.00951608,128
2,2,10.1.2.2,0.00966488,128
3,2,10.1.2.2,0.00981368,128
4,2,10.1.2.2,0.0104743,128
5,2,10.1.2.2,0.0115046,128
6,2,10.1.2.2,0.0129215,128
7,2,10.1.2.2,0.0136274,128
8,2,10.1.2.2,0.0138802,128
9,2,10.1.2.2,0.014133,128
10,2,10.1.2.2,0.0143858,128
11,2,10.1.2.2,0.0146722,128
12,2,10.1.2.2,0.014925,128
13,2,10.1.2.2,0.0151778,128
14,2,10.1.2.2,0.0155568,128
15,2,10.1.2.2,0.0158096,128
16,2,10.1.2.2,0.0178908,128
17,2,10.1.2.2,0.0184544,128
18,2,10.1.2.2,0.0194576,128
19,2,10.1.2.2,0.0209273,128
20,2,10.1.2.2,0.024008,128
21,2,10.1.2.2,0.024451,128
22,2,10.1.2.2,0.025529,128
23,2,10.1.2.2,0.0268681,128
24,2,10.1.2.2,0.0272112,128
25,2,10.1.2.2,0.027464,128
26,2,10.1.2.2,0.0282704,128
27,2,10.1.2.2,0.0292937,128
28,2,10.1.2.2,0.02965,128
29,2,10.1.2.2,0.0306446,128
30,2,10.1.2.2,0.0337278,128
31,2,10.1.2.2,0.034327,128
32,2,10.1.2.2,0.0352835,128
33,2,10.1.2.2,0.0356025,128
34,2,10.1.2.2,0.0358553,128
35,2,10.1.2.2,0.0361081,128
36,2,10.1.2.2,0.0378332,128
37,2,10.1.2.2,0.038086,128
38,2,10.1.2.2,0.0425768,128
39,2,10.1.2.2,0.043397,128
40,2,10.1.2.2,0.0436498,128
41,2,10.1.2.2,0.0456016,128
42,2,10.1.2.2,0.0462258,128
43,2,10.1.2.2,0.0481695,128
44,2,10.1.2.2,0.0499684,128
45,2,10.1.2.2,0.0502212,128
46,2,10.1.2.2,0.0506631,128
47,2,10.1.2.2,0.0509159,128
48,2,10.1.2.2,0.0511687,128
49,2,10.1.2.2,0.0524546,128
50,2,10.1.2.2,0.0527074,128
51,2,10.1.2.2,0.0530698,128
52,2,10.1.2.2,0.0533226,128
53,2,10.1.2.2,0.0535754,128
54,2,10.1.2.2,0.0544204,128
55,2,10.1.2.2,0.0546732,128
56,2,10.1.2.2,0.0550697,128
57,2,10.1.2.2,0.0557571,128
58,2,10.1.2.2,0.0595014,128
59,2,10.1.2.2,0.0604823,128
60,2,10.1.2.2,0.0609928,128
61,2,10.1.2.2,0.0615365,128
62,2,10.1.2.2,0.0619509,128
63,2,10.1.2.2,0.062904,128
64,2,10.1.2.2,0.0636822,128
65,2,10.1.2.2,0.063935,128
66,2,10.1.2.2,0.0657771,128
67,2,10.1.2.2,0.0660891,128
68,2,10.1.2.2,0.0664457,128
69,2,10.1.2.2,0.0706769,128
70,2,10.1.2.2,0.0711669,128
71,2,10.1.2.2,0.072712,128
72,2,10.1.2.2,0.0734865,128
73,2,10.1.2.2,0.0744823,128
74,2,10.1.2.2,0.0751593,128
75,2,10.1.2.2,0.0770328,128
76,2,10.1.2.2,0.0774504,128
77,2,10.1.2.2,0.0784603,128
78,2,10.1.2.2,0.0787131,128
79,2,10.1.2.2,0.0789659,128
80,2,10.1.2.2,0.0798449,128
81,2,10.1.2.2,0.0801424,128
82,2,10.1.2.2,0.0803952,128
83,2,10.1.2.2,0.0817413,128
84,2,10.1.2.2,0.0840628,128
85,2,10.1.2.2,0.0855372,128
86,2,10.1.2.2,0.08579,128
87,2,10.1.2.2,0.0860428,128
88,2,10.1.2.2,0.0862956,128
89,2,10.1.2.2,0.0865484,128
90,2,10.1.2.2,0.0868012,128
91,2,10.1.2.2,0.087054,128
92,2,10.1.2.2,0.0877248,128
93,2,10.1.2.2,0.0883565,128
94,2,10.1.2.2,0.0889454,128
95,2,10.1.2.2,0.0891982,128
96,2,10.1.2.2,0.0922767,128
97,2,10.1.2.2,0.093326,128
98,2,10.1.2.2,0.0942507,128
99,2,10.1.2.2,0.0945036,128
100,2,10.1.2.2,0.0949348,128
101,2,10.1.2.2,0.0956462,128
102,2,10.1.2.2,0.0969277,128
103,2,10.1.2.2,0.100385,128
104,2,10.1.2.2,0.101042,128
105,2,10.1.2.2,0.10151,128
106,2,10.1.2.2,0.101763,128
107,2,10.1.2.2,0.102015,128
108,2,10.1.2.2,0.102268,128
109,2,10.1.2.2,0.102521,128
110,2,10.1.2.2,0.102774,128
111,2,10.1.2.2,0.103369,128
112,2,10.1.2.2,0.10376,128
113,2,10.1.2.2,0.104348,128
114,2,10.1.2.2,0.104601,128
115,2,10.1.2.2,0.106138,128
116,2,10.1.2.2,0.107072,128
117,2,10.1.2.2,0.107885,128
118,2,10.1.2.2,0.1083,128
119,2,10.1.2.2,0.110078,128
120,2,10.1.2.2,0.110331,128
121,2,10.1.2.2,0.110662,128
122,2,10.1.2.2,0.110915,128
123,2,10.1.2.2,0.111167,128
124,2,10.1.2.2,0.111881,128
125,2,10.1.2.2,0.112851,128
126,2,10.1.2.2,0.113103,128
127,2,10.1.2.2,0.113356,128
128,2,10.1.2.2,0.113609,128
129,2,10.1.2.2,0.114248,128
130,2,10.1.2.2,0.114756,128
131,2,10.1.2.2,0.115287,128
132,2,10.1.2.2,0.11566,128
133,2,10.1.2.2,0.116211,128
134,2,10.1.2.2,0.118135,128
135,2,10.1.2.2,0.118418,128
136,2,10.1.2.2,0.118827,128
137,2,10.1.2.2,0.119542,128
138,2,10.1.2.2,0.120725,128
