n_packets,node_id,node_addr,time,packet_size
1,2,10.1.2.2,0.00655688,128
2,2,10.1.2.2,0.00671928,128
3,2,10.1.2.2,0.00688168,128
4,2,10.1.2.2,0.00903993,128
5,2,10.1.2.2,0.0094405,128
6,2,10.1.2.2,0.00977212,128
7,2,10.1.2.2,0.0100649,128
8,2,10.1.2.2,0.0117527,128
9,2,10.1.2.2,0.0132211,128
10,2,10.1.2.2,0.0172501,128
11,2,10.1.2.2,0.0175301,128
12,2,10.1.2.2,0.0178101,128
13,2,10.1.2.2,0.0206148,128
14,2,10.1.2.2,0.0208948,128
15,2,10.1.2.2,0.0215445,128
16,2,10.1.2.2,0.0224943,128
17,2,10.1.2.2,0.0239632,128
18,2,10.1.2.2,0.0246376,128
19,2,10.1.2.2,0.0254033,128
20,2,10.1.2.2,0.026998,128
21,2,10.1.2.2,0.0294112,128
22,2,10.1.2.2,0.0308215,128
23,2,10.1.2.2,0.0311015,128
24,2,10.1.2.2,0.0313815,128
25,2,10.1.2.2,0.0316754,128
26,2,10.1.2.2,0.0319554,128
27,2,10.1.2.2,0.0326907,128
28,2,10.1.2.2,0.0332589,128
29,2,10.1.2.2,0.0339,128
30,2,10.1.2.2,0.035243,128
31,2,10.1.2.2,0.0359937,128
32,2,10.1.2.2,0.0375404,128
33,2,10.1.2.2,0.0378204,128
34,2,10.1.2.2,0.0381004,128
35,2,10.1.2.2,0.0388036,128
36,2,10.1.2.2,0.0390836,128
37,2,10.1.2.2,0.0393636,128
38,2,10.1.2.2,0.0403101,128
39,2,10.1.2.2,0.0409434,128
40,2,10.1.2.2,0.0421821,128
41,2,10.1.2.2,0.0424621,128
42,2,10.1.2.2,0.0429424,128
43,2,10.1.2.2,0.0443976,128
44,2,10.1.2.2,0.0446776,128
45,2,10.1.2.2,0.0449576,128
46,2,10.1.2.2,0.0452376,128
47,2,10.1.2.2,0.0455176,128
48,2,10.1.2.2,0.0458383,128
49,2,10.1.2.2,0.0461183,128
50,2,10.1.2.2,0.0468796,128
51,2,10.1.2.2,0.0491616,128
52,2,10.1.2.2,0.049873,128
53,2,10.1.2.2,0.0502745,128
54,2,10.1.2.2,0.0531372,128
55,2,10.1.2.2,0.053789,128
56,2,10.1.2.2,0.0566737,128
57,2,10.1.2.2,0.0569845,128
58,2,10.1.2.2,0.0588427,128
59,2,10.1.2.2,0.0591227,128
60,2,10.1.2.2,0.0594027,128
61,2,10.1.2.2,0.0596827,128
62,2,10.1.2.2,0.0605325,128
63,2,10.1.2.2,0.06103,128
64,2,10.1.2.2,0.06131,128
65,2,10.1.2.2,0.0618538,128
66,2,10.1.2.2,0.0626899,128
67,2,10.1.2.2,0.0636807,128
68,2,10.1.2.2,0.0645638,128
69,2,10.1.2.2,0.0648438,128
70,2,10.1.2.2,0.065668,128
71,2,10.1.2.2,0.0670253,128
72,2,10.1.2.2,0.0679268,128
73,2,10.1.2.2,0.0689364,128
74,2,10.1.2.2,0.0699353,128
75,2,10.1.2.2,0.0706671,128
76,2,10.1.2.2,0.0710704,128
77,2,10.1.2.2,0.0727375,128
78,2,10.1.2.2,0.0775361,128
79,2,10.1.2.2,0.0778161,128
80,2,10.1.2.2,0.0790288,128
81,2,10.1.2.2,0.0793088,128
82,2,10.1.2.2,0.0795888,128
83,2,10.1.2.2,0.0803086,128
84,2,10.1.2.2,0.0805886,128
85,2,10.1.2.2,0.0808686,128
86,2,10.1.2.2,0.0860349,128
87,2,10.1.2.2,0.0867962,128
88,2,10.1.2.2,0.0871362,128
89,2,10.1.2.2,0.0893468,128
90,2,10.1.2.2,0.089708,128
91,2,10.1.2.2,0.0914824,128
92,2,10.1.2.2,0.0924714,128
93,2,10.1.2.2,0.0947464,128
94,2,10.1.2.2,0.0967212,128
